,x0,x1,x2,x3,x4,x5,x6
0,1,1,1,0,7.25,0.0,0.0
1,2,0,1,0,71.2833,1.0,1.0
2,3,0,0,0,7.925,0.0,0.0
3,4,0,1,0,53.1,1.0,0.0
4,5,1,0,0,8.05,0.0,0.0
5,6,1,0,0,8.4583,0.0,
6,7,1,0,0,51.8625,,0.0
7,8,1,3,1,21.075,0.0,0.0
8,9,0,0,2,11.1333,0.0,0.0
9,10,0,1,0,30.0708,0.0,1.0
10,11,0,1,1,16.7,,0.0
11,12,0,0,0,26.55,1.0,0.0
12,13,1,0,0,8.05,0.0,0.0
13,14,1,1,5,31.275,0.0,0.0
14,15,0,0,0,7.8542,0.0,0.0
15,16,0,0,0,16.0,0.0,0.0
16,17,1,4,1,29.125,0.0,
17,18,1,0,0,13.0,0.0,0.0
18,19,0,1,0,18.0,0.0,0.0
19,20,0,0,0,7.225,0.0,1.0
20,21,1,0,0,26.0,0.0,0.0
21,22,1,0,0,13.0,,0.0
22,23,0,0,0,8.0292,0.0,
23,24,1,0,0,35.5,,0.0
24,25,0,3,1,21.075,0.0,0.0
25,26,0,1,5,31.3875,0.0,0.0
26,27,1,0,0,7.225,0.0,1.0
27,28,1,3,2,263.0,1.0,0.0
28,29,0,0,0,7.8792,0.0,
29,30,1,0,0,7.8958,0.0,0.0
30,31,1,0,0,27.7208,0.0,1.0
31,32,0,1,0,146.5208,,1.0
32,33,0,0,0,7.75,0.0,
33,34,1,0,0,10.5,0.0,0.0
34,35,1,1,0,82.1708,0.0,1.0
35,36,1,1,0,52.0,0.0,0.0
36,37,1,0,0,7.2292,0.0,1.0
37,38,1,0,0,8.05,0.0,0.0
38,39,0,2,0,18.0,0.0,0.0
39,40,0,1,0,11.2417,0.0,1.0
40,41,0,1,0,9.475,0.0,0.0
41,42,0,1,0,21.0,0.0,0.0
42,43,1,0,0,7.8958,0.0,1.0
43,44,0,1,2,41.5792,0.0,1.0
44,45,0,0,0,7.8792,0.0,
45,46,1,0,0,8.05,0.0,0.0
46,47,1,1,0,15.5,0.0,
47,48,0,0,0,7.75,0.0,
48,49,1,2,0,21.6792,0.0,1.0
49,50,0,1,0,17.8,0.0,0.0
50,51,1,4,1,39.6875,0.0,0.0
51,52,1,0,0,7.8,0.0,0.0
52,53,0,1,0,76.7292,,1.0
53,54,0,1,0,26.0,0.0,0.0
54,55,1,0,1,61.9792,,1.0
55,56,1,0,0,35.5,1.0,0.0
56,57,0,0,0,10.5,0.0,0.0
57,58,1,0,0,7.2292,0.0,1.0
58,59,0,1,2,27.75,0.0,0.0
59,60,1,5,2,46.9,0.0,0.0
60,61,1,0,0,7.2292,0.0,1.0
61,62,0,0,0,80.0,,0.0
62,63,1,1,0,83.475,1.0,0.0
63,64,1,3,2,27.9,0.0,0.0
64,65,1,0,0,27.7208,0.0,1.0
65,66,1,1,1,15.2458,0.0,1.0
66,67,0,0,0,10.5,,0.0
67,68,1,0,0,8.1583,0.0,0.0
68,69,0,4,2,7.925,0.0,0.0
69,70,1,2,0,8.6625,0.0,0.0
70,71,1,0,0,10.5,0.0,0.0
71,72,0,5,2,46.9,0.0,0.0
72,73,1,0,0,73.5,0.0,0.0
73,74,1,1,0,14.4542,0.0,1.0
74,75,1,0,0,56.4958,0.0,0.0
75,76,1,0,0,7.65,,0.0
76,77,1,0,0,7.8958,0.0,0.0
77,78,1,0,0,8.05,0.0,0.0
78,79,1,0,2,29.0,0.0,0.0
79,80,0,0,0,12.475,0.0,0.0
80,81,1,0,0,9.0,0.0,0.0
81,82,1,0,0,9.5,0.0,0.0
82,83,0,0,0,7.7875,0.0,
83,84,1,0,0,47.1,0.0,0.0
84,85,0,0,0,10.5,0.0,0.0
85,86,0,3,0,15.85,0.0,0.0
86,87,1,1,3,34.375,0.0,0.0
87,88,1,0,0,8.05,0.0,0.0
88,89,0,3,2,263.0,1.0,0.0
89,90,1,0,0,8.05,0.0,0.0
90,91,1,0,0,8.05,0.0,0.0
91,92,1,0,0,7.8542,0.0,0.0
92,93,1,1,0,61.175,,0.0
93,94,1,1,2,20.575,0.0,0.0
94,95,1,0,0,7.25,0.0,0.0
95,96,1,0,0,8.05,0.0,0.0
96,97,1,0,0,34.6542,,1.0
97,98,1,0,1,63.3583,,1.0
98,99,0,0,1,23.0,0.0,0.0
99,100,1,1,0,26.0,0.0,0.0
100,101,0,0,0,7.8958,0.0,0.0
101,102,1,0,0,7.8958,0.0,0.0
102,103,1,0,1,77.2875,,0.0
103,104,1,0,0,8.6542,0.0,0.0
104,105,1,2,0,7.925,0.0,0.0
105,106,1,0,0,7.8958,0.0,0.0
106,107,0,0,0,7.65,0.0,0.0
107,108,1,0,0,7.775,0.0,0.0
108,109,1,0,0,7.8958,0.0,0.0
109,110,0,1,0,24.15,0.0,
110,111,1,0,0,52.0,1.0,0.0
111,112,0,1,0,14.4542,0.0,1.0
112,113,1,0,0,8.05,0.0,0.0
113,114,0,1,0,9.825,0.0,0.0
114,115,0,0,0,14.4583,0.0,1.0
115,116,1,0,0,7.925,0.0,0.0
116,117,1,0,0,7.75,0.0,
117,118,1,1,0,21.0,0.0,0.0
