id,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Online boarding,satisfaction
70172,4,3,4,4,5,5,25,18,3,0
5047,1,5,3,1,4,1,1,6,3,0
110028,4,3,4,4,4,5,0,0,5,1
24026,2,5,3,1,4,2,11,9,2,0
119299,3,4,4,3,3,3,0,0,5,1
111157,3,4,4,4,4,1,0,0,2,0
82113,3,3,4,3,5,2,9,23,2,0
96462,5,5,5,4,5,4,4,0,5,1
79485,1,2,1,4,1,2,0,0,3,0
65725,2,3,4,4,3,2,0,0,3,0
34991,3,3,5,3,5,2,0,0,5,0
51412,1,2,5,5,5,1,0,0,2,0
98628,1,1,3,4,4,1,28,8,1,0
83502,4,5,2,2,2,4,0,0,4,1
95789,4,3,2,2,1,2,43,35,3,0
100580,2,1,4,1,3,4,1,0,2,0
71142,5,3,4,5,4,4,49,51,4,1
127461,5,5,5,3,5,5,0,10,4,1
70354,5,5,5,3,5,4,7,5,4,1
66246,1,2,4,3,2,5,17,18,3,0
39076,1,5,3,4,3,2,0,4,2,0
22434,2,5,3,3,4,5,0,0,3,0
43510,3,3,5,3,3,4,52,29,4,0
114090,4,4,4,2,4,2,0,0,3,0
105420,4,5,5,3,5,1,54,44,5,1
102956,3,2,4,4,5,5,27,28,4,0
18510,4,4,3,5,4,2,0,0,5,1
14925,4,4,4,2,4,2,0,8,2,1
118319,3,3,3,2,3,2,18,12,2,0
75460,2,4,3,4,2,3,19,0,3,0
48492,5,4,3,1,5,5,0,0,5,1
27809,3,1,4,2,4,5,3,0,2,0
70594,3,4,5,4,3,4,109,120,4,1
30089,5,4,3,5,5,5,18,24,4,0
58779,4,1,3,1,4,1,9,0,3,0
79659,3,5,3,3,3,1,0,1,1,0
110293,5,4,5,4,5,5,0,0,4,0
48014,5,1,4,3,4,2,23,20,4,0
96517,4,4,4,4,4,4,23,31,4,1
64685,3,3,4,4,4,1,0,0,1,0
64138,4,4,4,4,4,3,0,0,5,1
60373,4,4,5,5,5,3,9,23,3,0
14849,4,4,4,4,4,3,0,0,5,1
