PassengerId,Survived,Pclass,Age
100,0,2,34
101,0,3,28
102,0,3,24
103,0,1,21
104,0,3,33
105,0,3,37
106,0,3,28
107,1,3,21
108,1,3,24
109,0,3,38
110,1,3,24
111,0,1,47
112,0,3,14.5
113,0,3,22
114,0,3,20
115,0,3,17
116,0,3,21
117,0,3,70.5
118,0,2,29
119,0,1,24
120,0,3,2
121,0,2,21
122,0,3,24
123,0,2,32.5
124,1,2,32.5
125,0,1,54
126,1,3,12
127,0,3,24
128,1,3,24
129,1,3,24
130,0,3,45
131,0,3,33
132,0,3,20
133,0,3,47
134,1,2,29
135,0,2,25
136,0,2,23
137,1,1,19
138,0,1,37
139,0,3,16
140,0,1,24
141,0,3,24
142,1,3,22
143,1,3,24
144,0,3,19
145,0,2,18
146,0,2,19
147,1,3,27
148,0,3,9
149,0,2,36.5
150,0,2,42
151,0,2,51
152,1,1,22
153,0,3,55.5
154,0,3,40.5
155,0,3,24
156,0,1,51
157,1,3,16
158,0,3,30
159,0,3,24
160,0,3,24
161,0,3,44
162,1,2,40
163,0,3,26
164,0,3,17
165,0,3,1
166,1,3,9
167,1,1,24
168,0,3,45
169,0,1,24
170,0,3,28
171,0,1,61
172,0,3,4
173,1,3,1
174,0,3,21
175,0,1,56
176,0,3,18
177,0,3,24
178,0,1,50
179,0,2,30
180,0,3,36
181,0,3,24
182,0,2,24
183,0,3,9
184,1,2,1
185,1,3,4
186,0,1,24
187,1,3,24
188,1,1,45
189,0,3,40
190,0,3,36
191,1,2,32
192,0,2,19
193,1,3,19
194,1,2,3
195,1,1,44
196,1,1,58
197,0,3,24
198,0,3,42
199,1,3,24
200,0,2,24
201,0,3,28
202,0,3,24
203,0,3,34
204,0,3,45.5
205,1,3,18
206,0,3,2
207,0,3,32
208,1,3,26
209,1,3,16
210,1,1,40
211,0,3,24
212,1,2,35
213,0,3,22
214,0,2,30
215,0,3,24
216,1,1,31
217,1,3,27
218,0,2,42
219,1,1,32
220,0,2,30
221,1,3,16
222,0,2,27
223,0,3,51
224,0,3,24
225,1,1,38
226,0,3,22
227,1,2,19
228,0,3,20.5
229,0,2,18
230,0,3,24
231,1,1,35
232,0,3,29
233,0,2,59
234,1,3,5
235,0,2,24
236,0,3,24
237,0,2,44
238,1,2,8
239,0,2,19
240,0,2,33
241,0,3,24
242,1,3,24
243,0,2,29
244,0,3,22
245,0,3,30
246,0,1,44
247,0,3,25
248,1,2,24
249,1,1,37
250,0,2,54
251,0,3,24
252,0,3,29
253,0,1,62
254,0,3,30
255,0,3,41
256,1,3,29
257,1,1,24
258,1,1,30
259,1,1,35
260,1,2,50
261,0,3,24
262,1,3,3
263,0,1,52
264,0,1,40
265,0,3,24
266,0,2,36
267,0,3,16
268,1,3,25
269,1,1,58
270,1,1,35
271,0,1,24
272,1,3,25
273,1,2,41
274,0,1,37
275,1,3,24
276,1,1,63
277,0,3,45
278,0,2,24
279,0,3,7
280,1,3,35
281,0,3,65
282,0,3,28
283,0,3,16
284,1,3,19
285,0,1,24
286,0,3,33
287,1,3,30
288,0,3,22
289,1,2,42
290,1,3,22
291,1,1,26
292,1,1,19
293,0,2,36
294,0,3,24
295,0,3,24
296,0,1,24
297,0,3,23.5
298,0,1,2
299,1,1,24
300,1,1,50
301,1,3,24
302,1,3,24
303,0,3,19
304,1,2,24
305,0,3,24
306,1,1,0.92
307,1,1,24
308,1,1,17
309,0,2,30
310,1,1,30
311,1,1,24
312,1,1,18
313,0,2,26
314,0,3,28
315,0,2,43
316,1,3,26
317,1,2,24
318,0,2,54
319,1,1,31
320,1,1,40
321,0,3,22
322,0,3,27
323,1,2,30
324,1,2,22
325,0,3,24
326,1,1,36
327,0,3,61
328,1,2,36
329,1,3,31
330,1,1,16
331,1,3,24
332,0,1,45.5
333,0,1,38
334,0,3,16
335,1,1,24
336,0,3,24
337,0,1,29
338,1,1,41
339,1,3,45
340,0,1,45
341,1,2,2
342,1,1,24
343,0,2,28
344,0,2,25
345,0,2,36
346,1,2,24
347,1,2,40
348,1,3,24
349,1,3,3
350,0,3,42
351,0,3,23
352,0,1,24
353,0,3,15
354,0,3,25
355,0,3,24
356,0,3,28
357,1,1,22
358,0,2,38
359,1,3,24
360,1,3,24
361,0,3,40
362,0,2,29
363,0,3,45
364,0,3,35
365,0,3,24
366,0,3,30
367,1,1,60
368,1,3,24
369,1,3,24
370,1,1,24
371,1,1,25
372,0,3,18
373,0,3,19
374,0,1,22
375,0,3,3
376,1,1,24
377,1,3,22
378,0,1,27
379,0,3,20
380,0,3,19
381,1,1,42
382,1,3,1
383,0,3,32
384,1,1,35
385,0,3,24
386,0,2,18
387,0,3,1
388,1,2,36
389,0,3,24
390,1,2,17
391,1,1,36
392,1,3,21
393,0,3,28
394,1,1,23
395,1,3,24
396,0,3,22
397,0,3,31
398,0,2,46
399,0,2,23
400,1,2,28
401,1,3,39
402,0,3,26
403,0,3,21
404,0,3,28
405,0,3,20
406,0,2,34
407,0,3,51
408,1,2,3
409,0,3,21
410,0,3,24
411,0,3,24
412,0,3,24
413,1,1,33
414,0,2,24
415,1,3,44
416,0,3,24
417,1,2,34
418,1,2,18
419,0,2,30
420,0,3,10
421,0,3,24
422,0,3,21
423,0,3,29
424,0,3,28
425,0,3,18
426,0,3,24
427,1,2,28
428,1,2,19
429,0,3,24
430,1,3,32
431,1,1,28
432,1,3,24
433,1,2,42
434,0,3,17
435,0,1,50
436,1,1,14
437,0,3,21
438,1,2,24
439,0,1,64
440,0,2,31
441,1,2,45
442,0,3,20
443,0,3,25
444,1,2,28
445,1,3,24
446,1,1,4
447,1,2,13
448,1,1,34
449,1,3,5
450,1,1,52
451,0,2,36
452,0,3,24
453,0,1,30
454,1,1,49
455,0,3,24
456,1,3,29
457,0,1,65
458,1,1,24
459,1,2,50
460,0,3,24
461,1,1,48
462,0,3,34
463,0,1,47
464,0,2,48
465,0,3,24
466,0,3,38
467,0,2,24
468,0,1,56
469,0,3,24
470,1,3,0.75
471,0,3,24
472,0,3,38
473,1,2,33
474,1,2,23
475,0,3,22
476,0,1,24
477,0,2,34
478,0,3,29
479,0,3,22
480,1,3,2
481,0,3,9
482,0,2,24
483,0,3,50
484,1,3,63
485,1,1,25
486,0,3,24
487,1,1,35
488,0,1,58
489,0,3,30
490,1,3,9
491,0,3,24
492,0,3,21
493,0,1,55
494,0,1,71
495,0,3,21
496,0,3,24
497,1,1,54
498,0,3,24
499,0,1,25
500,0,3,24
501,0,3,17
502,0,3,21
503,0,3,24
504,0,3,37
505,1,1,16
506,0,1,18
507,1,2,33
508,1,1,24
509,0,3,28
510,1,3,26
511,1,3,29
512,0,3,24
513,1,1,36
514,1,1,54
515,0,3,24
516,0,1,47
517,1,2,34
518,0,3,24
519,1,2,36
520,0,3,32
521,1,1,30
522,0,3,22
523,0,3,24
524,1,1,44
525,0,3,24
526,0,3,40.5
527,1,2,50
528,0,1,24
529,0,3,39
530,0,2,23
531,1,2,2
532,0,3,24
533,0,3,17
534,1,3,24
535,0,3,30
536,1,2,7
537,0,1,45
538,1,1,30
539,0,3,24
540,1,1,22
541,1,1,36
542,0,3,9
543,0,3,11
544,1,2,32
545,0,1,50
546,0,1,64
547,1,2,19
548,1,2,24
549,0,3,33
550,1,2,8
551,1,1,17
552,0,2,27
553,0,3,24
554,1,3,22
555,1,3,22
556,0,1,62
557,1,1,48
558,0,1,24
559,1,1,39
560,1,3,36
561,0,3,24
562,0,3,40
563,0,2,28
564,0,3,24
565,0,3,24
566,0,3,24
567,0,3,19
568,0,3,29
569,0,3,24
570,1,3,32
571,1,2,62
572,1,1,53
573,1,1,36
574,1,3,24
575,0,3,16
576,0,3,19
577,1,2,34
578,1,1,39
579,0,3,24
580,1,3,32
581,1,2,25
582,1,1,39
583,0,2,54
584,0,1,36
585,0,3,24
586,1,1,18
587,0,2,47
588,1,1,60
589,0,3,22
590,0,3,24
591,0,3,35
592,1,1,52
593,0,3,47
594,0,3,24
595,0,2,37
596,0,3,36
597,1,2,24
598,0,3,49
599,0,3,24
600,1,1,49
601,1,2,24
602,0,3,24
603,0,1,24
604,0,3,44
605,1,1,35
606,0,3,36
607,0,3,30
608,1,1,27
609,1,2,22
610,1,1,40
611,0,3,39
612,0,3,24
613,1,3,24
614,0,3,24
615,0,3,35
616,1,2,24
617,0,3,34
618,0,3,26
619,1,2,4
620,0,2,26
621,0,3,27
622,1,1,42
623,1,3,20
624,0,3,21
625,0,3,21
626,0,1,61
627,0,2,57
628,1,1,21
629,0,3,26
630,0,3,24
631,1,1,80
632,0,3,51
633,1,1,32
634,0,1,24
635,0,3,9
636,1,2,28
637,0,3,32
638,0,2,31
639,0,3,41
640,0,3,24
641,0,3,20
642,1,1,24
643,0,3,2
644,1,3,24
645,1,3,0.75
646,1,1,48
647,0,3,19
648,1,1,56
649,0,3,24
650,1,3,23
651,0,3,24
652,1,2,18
653,0,3,21
654,1,3,24
655,0,3,18
656,0,2,24
657,0,3,24
658,0,3,32
659,0,2,23
660,0,1,58
661,1,1,50
662,0,3,40
663,0,1,47
664,0,3,36
665,1,3,20
666,0,2,32
667,0,2,25
668,0,3,24
669,0,3,43
670,1,1,24
671,1,2,40
672,0,1,31
673,0,2,70
674,1,2,31
675,0,2,24
676,0,3,18
677,0,3,24.5
678,1,3,18
679,0,3,43
680,1,1,36
681,0,3,24
682,1,1,27
683,0,3,20
684,0,3,14
685,0,2,60
686,0,2,25
687,0,3,14
688,0,3,19
689,0,3,18
690,1,1,15
691,1,1,31
692,1,3,4
693,1,3,24
694,0,3,25
695,0,1,60
696,0,2,52
697,0,3,44
698,1,3,24
699,0,1,49
700,0,3,42
701,1,1,18
702,1,1,35
703,0,3,18
704,0,3,25
705,0,3,26
706,0,2,39
707,1,2,45
708,1,1,42
709,1,1,22
710,1,3,24
711,1,1,24
712,0,1,24
713,1,1,48
714,0,3,29
715,0,2,52
716,0,3,19
717,1,1,38
718,1,2,27
719,0,3,24
720,0,3,33
721,1,2,6
722,0,3,17
723,0,2,34
724,0,2,50
725,1,1,27
726,0,3,20
727,1,2,30
728,1,3,24
729,0,2,25
730,0,3,25
731,1,1,29
732,0,3,11
733,0,2,24
734,0,2,23
735,0,2,23
736,0,3,28.5
737,0,3,48
738,1,1,35
739,0,3,24
740,0,3,24
741,1,1,24
742,0,1,36
743,1,1,21
744,0,3,24
745,1,3,31
746,0,1,70
747,0,3,16
748,1,2,30
749,0,1,19
750,0,3,31
751,1,2,4
752,1,3,6
753,0,3,33
754,0,3,23
755,1,2,48
756,1,2,0.67
757,0,3,28
758,0,2,18
759,0,3,34
760,1,1,33
761,0,3,24
762,0,3,41
763,1,3,20
764,1,1,36
765,0,3,16
766,1,1,51
767,0,1,24
768,0,3,30.5
769,0,3,24
770,0,3,32
771,0,3,24
772,0,3,48
773,0,2,57
774,0,3,24
775,1,2,54
776,0,3,18
777,0,3,24
778,1,3,5
779,0,3,24
780,1,1,43
781,1,3,13
782,1,1,17
783,0,1,29
784,0,3,24
785,0,3,25
786,0,3,25
787,1,3,18
788,0,3,8
789,1,3,1
790,0,1,46
791,0,3,24
792,0,2,16
793,0,3,24
794,0,1,24
795,0,3,25
796,0,2,39
797,1,1,49
798,1,3,31
799,0,3,30
800,0,3,30
801,0,2,34
802,1,2,31
803,1,1,11
804,1,3,0.42
805,1,3,27
806,0,3,31
807,0,1,39
808,0,3,18
809,0,2,39
810,1,1,33
811,0,3,26
812,0,3,39
813,0,2,35
814,0,3,6
815,0,3,30.5
816,0,1,24
817,0,3,23
818,0,2,31
819,0,3,43
820,0,3,10
821,1,1,52
822,1,3,27
823,0,1,38
824,1,3,27
825,0,3,2
826,0,3,24
827,0,3,24
828,1,2,1
829,1,3,24
830,1,1,62
831,1,3,15
832,1,2,0.83
833,0,3,24
834,0,3,23
835,0,3,18
836,1,1,39
837,0,3,21
838,0,3,24
839,1,3,32
840,1,1,24
841,0,3,20
842,0,2,16
843,1,1,30
844,0,3,34.5
845,0,3,17
846,0,3,42
847,0,3,24
848,0,3,35
849,0,2,28
850,1,1,24
851,0,3,4
852,0,3,74
853,0,3,9
854,1,1,16
855,0,2,44
856,1,3,18
857,1,1,45
858,1,1,51
859,1,3,24
860,0,3,24
861,0,3,41
862,0,2,21
863,1,1,48
864,0,3,24
865,0,2,24
866,1,2,42
867,1,2,27
868,0,1,31
869,0,3,24
870,1,3,4
871,0,3,26
872,1,1,47
873,0,1,33
874,0,3,47
875,1,2,28
876,1,3,15
877,0,3,20
878,0,3,19
879,0,3,24
880,1,1,56
881,1,2,25
882,0,3,33
883,0,3,22
884,0,2,28
885,0,3,25
886,0,3,39
887,0,2,27
888,1,1,19
889,0,3,24
890,1,1,26
891,0,3,32
