PassengerId,Sex,SibSp,Parch,Fare,Cabin,Embarked
1,male,1,0,7.25,N,S
2,female,1,0,71.2833,C,C
3,female,0,0,7.925,N,S
4,female,1,0,53.1,C,S
5,male,0,0,8.05,N,S
6,male,0,0,8.4583,N,Q
7,male,0,0,51.8625,E,S
8,male,3,1,21.075,N,S
9,female,0,2,11.1333,N,S
10,female,1,0,30.0708,N,C
11,female,1,1,16.7,G,S
12,female,0,0,26.55,C,S
13,male,0,0,8.05,N,S
14,male,1,5,31.275,N,S
15,female,0,0,7.8542,N,S
16,female,0,0,16,N,S
17,male,4,1,29.125,N,Q
18,male,0,0,13,N,S
19,female,1,0,18,N,S
20,female,0,0,7.225,N,C
21,male,0,0,26,N,S
22,male,0,0,13,D,S
23,female,0,0,8.0292,N,Q
24,male,0,0,35.5,A,S
25,female,3,1,21.075,N,S
26,female,1,5,31.3875,N,S
27,male,0,0,7.225,N,C
28,male,3,2,263,C,S
29,female,0,0,7.8792,N,Q
30,male,0,0,7.8958,N,S
31,male,0,0,27.7208,N,C
32,female,1,0,146.5208,B,C
33,female,0,0,7.75,N,Q
34,male,0,0,10.5,N,S
35,male,1,0,82.1708,N,C
36,male,1,0,52,N,S
37,male,0,0,7.2292,N,C
38,male,0,0,8.05,N,S
39,female,2,0,18,N,S
40,female,1,0,11.2417,N,C
41,female,1,0,9.475,N,S
42,female,1,0,21,N,S
43,male,0,0,7.8958,N,C
44,female,1,2,41.5792,N,C
45,female,0,0,7.8792,N,Q
46,male,0,0,8.05,N,S
47,male,1,0,15.5,N,Q
48,female,0,0,7.75,N,Q
49,male,2,0,21.6792,N,C
50,female,1,0,17.8,N,S
51,male,4,1,39.6875,N,S
52,male,0,0,7.8,N,S
53,female,1,0,76.7292,D,C
54,female,1,0,26,N,S
55,male,0,1,61.9792,B,C
56,male,0,0,35.5,C,S
57,female,0,0,10.5,N,S
58,male,0,0,7.2292,N,C
59,female,1,2,27.75,N,S
60,male,5,2,46.9,N,S
61,male,0,0,7.2292,N,C
62,female,0,0,80,B,S
63,male,1,0,83.475,C,S
64,male,3,2,27.9,N,S
65,male,0,0,27.7208,N,C
66,male,1,1,15.2458,N,C
67,female,0,0,10.5,F,S
68,male,0,0,8.1583,N,S
69,female,4,2,7.925,N,S
70,male,2,0,8.6625,N,S
71,male,0,0,10.5,N,S
72,female,5,2,46.9,N,S
73,male,0,0,73.5,N,S
74,male,1,0,14.4542,N,C
75,male,0,0,56.4958,N,S
76,male,0,0,7.65,F,S
77,male,0,0,7.8958,N,S
78,male,0,0,8.05,N,S
79,male,0,2,29,N,S
80,female,0,0,12.475,N,S
81,male,0,0,9,N,S
82,male,0,0,9.5,N,S
83,female,0,0,7.7875,N,Q
84,male,0,0,47.1,N,S
