PassengerId,Parch,Fare,Cabin,Embarked
1,0,7.25,N,S
2,0,71.2833,C,C
3,0,7.925,N,S
4,0,53.1,C,S
5,0,8.05,N,S
6,0,8.4583,N,Q
7,0,51.8625,E,S
8,1,21.075,N,S
9,2,11.1333,N,S
10,0,30.0708,N,C
11,1,16.7,G,S
12,0,26.55,C,S
13,0,8.05,N,S
14,5,31.275,N,S
15,0,7.8542,N,S
16,0,16,N,S
17,1,29.125,N,Q
18,0,13,N,S
19,0,18,N,S
20,0,7.225,N,C
21,0,26,N,S
22,0,13,D,S
23,0,8.0292,N,Q
24,0,35.5,A,S
25,1,21.075,N,S
26,5,31.3875,N,S
27,0,7.225,N,C
28,2,263,C,S
29,0,7.8792,N,Q
30,0,7.8958,N,S
31,0,27.7208,N,C
32,0,146.5208,B,C
33,0,7.75,N,Q
34,0,10.5,N,S
35,0,82.1708,N,C
36,0,52,N,S
37,0,7.2292,N,C
38,0,8.05,N,S
39,0,18,N,S
40,0,11.2417,N,C
41,0,9.475,N,S
42,0,21,N,S
43,0,7.8958,N,C
44,2,41.5792,N,C
45,0,7.8792,N,Q
46,0,8.05,N,S
47,0,15.5,N,Q
48,0,7.75,N,Q
49,0,21.6792,N,C
50,0,17.8,N,S
51,1,39.6875,N,S
52,0,7.8,N,S
53,0,76.7292,D,C
54,0,26,N,S
55,1,61.9792,B,C
56,0,35.5,C,S
57,0,10.5,N,S
58,0,7.2292,N,C
59,2,27.75,N,S
60,2,46.9,N,S
61,0,7.2292,N,C
62,0,80,B,S
63,0,83.475,C,S
64,2,27.9,N,S
65,0,27.7208,N,C
66,1,15.2458,N,C
67,0,10.5,F,S
68,0,8.1583,N,S
69,2,7.925,N,S
70,0,8.6625,N,S
71,0,10.5,N,S
72,2,46.9,N,S
73,0,73.5,N,S
74,0,14.4542,N,C
75,0,56.4958,N,S
76,0,7.65,F,S
77,0,7.8958,N,S
78,0,8.05,N,S
79,2,29,N,S
80,0,12.475,N,S
81,0,9,N,S
82,0,9.5,N,S
83,0,7.7875,N,Q
84,0,47.1,N,S
85,0,10.5,N,S
86,0,15.85,N,S
87,3,34.375,N,S
88,0,8.05,N,S
89,2,263,C,S
90,0,8.05,N,S
91,0,8.05,N,S
92,0,7.8542,N,S
93,0,61.175,E,S
94,2,20.575,N,S
95,0,7.25,N,S
96,0,8.05,N,S
97,0,34.6542,A,C
98,1,63.3583,D,C
99,1,23,N,S
100,0,26,N,S
101,0,7.8958,N,S
102,0,7.8958,N,S
103,1,77.2875,D,S
104,0,8.6542,N,S
105,0,7.925,N,S
106,0,7.8958,N,S
107,0,7.65,N,S
108,0,7.775,N,S
109,0,7.8958,N,S
110,0,24.15,N,Q
111,0,52,C,S
112,0,14.4542,N,C
113,0,8.05,N,S
114,0,9.825,N,S
115,0,14.4583,N,C
116,0,7.925,N,S
117,0,7.75,N,Q
118,0,21,N,S
119,1,247.5208,B,C
120,2,31.275,N,S
121,0,73.5,N,S
122,0,8.05,N,S
123,0,30.0708,N,C
124,0,13,E,S
125,1,77.2875,D,S
126,0,11.2417,N,C
127,0,7.75,N,Q
128,0,7.1417,N,S
129,1,22.3583,F,C
130,0,6.975,N,S
131,0,7.8958,N,C
132,0,7.05,N,S
133,0,14.5,N,S
134,0,26,N,S
135,0,13,N,S
136,0,15.0458,N,C
137,2,26.2833,D,S
138,0,53.1,C,S
139,0,9.2167,N,S
140,0,79.2,B,C
141,2,15.2458,N,C
142,0,7.75,N,S
143,0,15.85,N,S
144,0,6.75,N,Q
145,0,11.5,N,S
146,1,36.75,N,S
147,0,7.7958,N,S
148,2,34.375,N,S
149,2,26,F,S
150,0,13,N,S
151,0,12.525,N,S
152,0,66.6,C,S
153,0,8.05,N,S
154,2,14.5,N,S
155,0,7.3125,N,S
156,1,61.3792,N,C
157,0,7.7333,N,Q
158,0,8.05,N,S
159,0,8.6625,N,S
160,2,69.55,N,S
161,1,16.1,N,S
162,0,15.75,N,S
163,0,7.775,N,S
164,0,8.6625,N,S
165,1,39.6875,N,S
166,2,20.525,N,S
167,1,55,E,S
168,4,27.9,N,S
169,0,25.925,N,S
170,0,56.4958,N,S
171,0,33.5,B,S
172,1,29.125,N,Q
173,1,11.1333,N,S
174,0,7.925,N,S
175,0,30.6958,A,C
176,1,7.8542,N,S
177,1,25.4667,N,S
178,0,28.7125,C,C
179,0,13,N,S
180,0,0,N,S
181,2,69.55,N,S
182,0,15.05,N,C
183,2,31.3875,N,S
184,1,39,F,S
185,2,22.025,N,S
186,0,50,A,S
187,0,15.5,N,Q
188,0,26.55,N,S
189,1,15.5,N,Q
190,0,7.8958,N,S
191,0,13,N,S
192,0,13,N,S
193,0,7.8542,N,S
194,1,26,F,S
195,0,27.7208,B,C
196,0,146.5208,B,C
197,0,7.75,N,Q
198,1,8.4042,N,S
199,0,7.75,N,Q
200,0,13,N,S
201,0,9.5,N,S
202,2,69.55,N,S
203,0,6.4958,N,S
204,0,7.225,N,C
205,0,8.05,N,S
206,1,10.4625,G,S
207,0,15.85,N,S
208,0,18.7875,N,C
209,0,7.75,N,Q
210,0,31,A,C
211,0,7.05,N,S
212,0,21,N,S
213,0,7.25,N,S
214,0,13,N,S
215,0,7.75,N,Q
216,0,113.275,D,C
217,0,7.925,N,S
218,0,27,N,S
219,0,76.2917,D,C
220,0,10.5,N,S
221,0,8.05,N,S
222,0,13,N,S
223,0,8.05,N,S
224,0,7.8958,N,S
225,0,90,C,S
226,0,9.35,N,S
227,0,10.5,N,S
228,0,7.25,N,S
229,0,13,N,S
230,1,25.4667,N,S
231,0,83.475,C,S
232,0,7.775,N,S
233,0,13.5,N,S
234,2,31.3875,N,S
235,0,10.5,N,S
236,0,7.55,N,S
237,0,26,N,S
238,2,26.25,N,S
239,0,10.5,N,S
240,0,12.275,N,S
241,0,14.4542,N,C
242,0,15.5,N,Q
243,0,10.5,N,S
244,0,7.125,N,S
245,0,7.225,N,C
246,0,90,C,Q
247,0,7.775,N,S
248,2,14.5,N,S
249,1,52.5542,D,S
250,0,26,N,S
251,0,7.25,N,S
252,1,10.4625,G,S
253,0,26.55,C,S
254,0,16.1,N,S
255,2,20.2125,N,S
256,2,15.2458,N,C
257,0,79.2,N,C
258,0,86.5,B,S
259,0,512.3292,N,C
260,1,26,N,S
261,0,7.75,N,Q
262,2,31.3875,N,S
263,1,79.65,E,S
264,0,0,B,S
265,0,7.75,N,Q
266,0,10.5,N,S
267,1,39.6875,N,S
268,0,7.775,N,S
269,1,153.4625,C,S
270,0,135.6333,C,S
271,0,31,N,S
272,0,0,N,S
273,1,19.5,N,S
274,1,29.7,C,C
275,0,7.75,N,Q
276,0,77.9583,D,S
277,0,7.75,N,S
278,0,0,N,S
279,1,29.125,N,Q
280,1,20.25,N,S
281,0,7.75,N,Q
282,0,7.8542,N,S
283,0,9.5,N,S
284,0,8.05,N,S
285,0,26,A,S
286,0,8.6625,N,C
287,0,9.5,N,S
288,0,7.8958,N,S
289,0,13,N,S
290,0,7.75,N,Q
291,0,78.85,N,S
292,0,91.0792,B,C
293,0,12.875,D,C
294,0,8.85,N,S
295,0,7.8958,N,S
296,0,27.7208,N,C
297,0,7.2292,N,C
298,2,151.55,C,S
299,0,30.5,C,S
300,1,247.5208,B,C
301,0,7.75,N,Q
302,0,23.25,N,Q
303,0,0,N,S
304,0,12.35,E,Q
305,0,8.05,N,S
306,2,151.55,C,S
307,0,110.8833,N,C
308,0,108.9,C,C
309,0,24,N,C
310,0,56.9292,E,C
311,0,83.1583,C,C
312,2,262.375,B,C
313,1,26,N,S
314,0,7.8958,N,S
315,1,26.25,N,S
316,0,7.8542,N,S
317,0,26,N,S
318,0,14,N,S
319,2,164.8667,C,S
320,1,134.5,E,C
321,0,7.25,N,S
322,0,7.8958,N,S
323,0,12.35,N,Q
324,1,29,N,S
325,2,69.55,N,S
326,0,135.6333,C,C
327,0,6.2375,N,S
328,0,13,D,S
329,1,20.525,N,S
330,1,57.9792,B,C
331,0,23.25,N,Q
332,0,28.5,C,S
333,1,153.4625,C,S
334,0,18,N,S
335,0,133.65,N,S
336,0,7.8958,N,S
337,0,66.6,C,S
338,0,134.5,E,C
339,0,8.05,N,S
340,0,35.5,T,S
341,1,26,F,S
342,2,263,C,S
343,0,13,N,S
344,0,13,N,S
