PassengerId,Sex,SibSp
1,male,1
2,female,1
3,female,0
4,female,1
5,male,0
6,male,0
7,male,0
8,male,3
9,female,0
10,female,1
11,female,1
12,female,0
13,male,0
14,male,1
15,female,0
16,female,0
17,male,4
18,male,0
19,female,1
20,female,0
21,male,0
22,male,0
23,female,0
24,male,0
25,female,3
26,female,1
27,male,0
28,male,3
29,female,0
30,male,0
31,male,0
32,female,1
33,female,0
34,male,0
35,male,1
36,male,1
37,male,0
38,male,0
39,female,2
40,female,1
41,female,1
42,female,1
43,male,0
44,female,1
45,female,0
46,male,0
47,male,1
48,female,0
49,male,2
50,female,1
51,male,4
52,male,0
53,female,1
54,female,1
55,male,0
56,male,0
57,female,0
58,male,0
59,female,1
60,male,5
61,male,0
62,female,0
63,male,1
64,male,3
65,male,0
66,male,1
67,female,0
68,male,0
69,female,4
70,male,2
71,male,0
72,female,5
73,male,0
74,male,1
75,male,0
76,male,0
77,male,0
78,male,0
79,male,0
80,female,0
81,male,0
82,male,0
83,female,0
84,male,0
85,female,0
86,female,3
87,male,1
88,male,0
89,female,3
90,male,0
91,male,0
92,male,0
93,male,1
94,male,1
95,male,0
96,male,0
97,male,0
98,male,0
99,female,0
100,male,1
101,female,0
102,male,0
103,male,0
104,male,0
105,male,2
106,male,0
107,female,0
108,male,0
109,male,0
110,female,1
111,male,0
112,female,1
113,male,0
114,female,1
115,female,0
116,male,0
117,male,0
118,male,1
119,male,0
120,female,4
121,male,2
122,male,0
123,male,1
124,female,0
125,male,0
126,male,1
127,male,0
128,male,0
129,female,1
130,male,0
131,male,0
132,male,0
133,female,1
134,female,1
135,male,0
136,male,0
137,female,0
138,male,1
139,male,0
140,male,0
141,female,0
142,female,0
143,female,1
144,male,0
145,male,0
146,male,1
147,male,0
148,female,2
149,male,0
150,male,0
151,male,0
152,female,1
153,male,0
154,male,0
155,male,0
156,male,0
157,female,0
158,male,0
159,male,0
160,male,8
161,male,0
162,female,0
163,male,0
164,male,0
165,male,4
166,male,0
167,female,0
168,female,1
169,male,0
170,male,0
171,male,0
172,male,4
173,female,1
174,male,0
175,male,0
176,male,1
177,male,3
178,female,0
